省份,CO2总量_Mt,人均CO2_吨每人,碳排放强度_吨每万元GDP,煤炭相关排放占比,第二产业占比,人均GDP_万元每人,城镇化率_%,聚类编号,类型
云南,220.046746229424,4.688829026836224,0.7599821311914126,0.6870590140418514,0.3616470149408376,6.169656935861922,51.72,1,中等转型压力型
吉林,186.839588764021,7.957393047871422,1.429508261266247,0.8605928214810036,0.3541108781809,5.566524701873935,63.72,1,中等转型压力型
四川,307.863676214341,3.676423169504909,0.5424929712780328,0.5063870909018114,0.3728136486824623,6.776904705039408,58.35,1,中等转型压力型
安徽,441.077218568729,7.198910046821103,0.9791924044149828,0.769051219494426,0.4126540126540126,7.351885098743267,60.15,1,中等转型压力型
广西,279.107504323731,5.53016652117557,1.061208948453213,0.7543449151897754,0.3398590922744089,5.211194769169804,55.65,1,中等转型压力型
江西,223.645074946473,4.939158015602318,0.6972631854591719,0.8235459861885581,0.447692418011704,7.083635159010601,62.07,1,中等转型压力型
河南,528.975824777069,5.358345064597539,0.8622951544248343,0.7569706492279724,0.4151105793290744,6.214049837925446,57.07,1,中等转型压力型
海南,44.6919345401215,4.351697618317576,0.6554799586418923,0.4399087726928622,0.192264820627145,6.638948393378773,61.49,1,中等转型压力型
湖南,307.058038080964,4.649576591171472,0.63089277688485,0.6239510888592428,0.3941327788553207,7.369836462749848,60.31,1,中等转型压力型
甘肃,195.741193567455,7.854783048453251,1.747439594053126,0.8037591207737494,0.3521818311669762,4.495024077046549,54.19,1,中等转型压力型
贵州,251.866531099655,6.531808379140431,1.249052949722063,0.7117948290909536,0.3527468930700337,5.229408713692946,54.81,1,中等转型压力型
青海,55.3334344741701,9.299736886415143,1.53273966023573,0.6138608030823485,0.4392399102517936,6.067394957983193,61.43,1,中等转型压力型
黑龙江,273.293395891859,8.818760758046434,1.718718293766801,0.8052894899280907,0.292365260046538,5.131010003226847,66.21,1,中等转型压力型
天津,152.678504319368,11.20165108726104,0.9360290370440614,0.6238834601720501,0.3702280014468497,11.96720469552458,85.11,0,工业制造高排放型
山东,920.905304452066,9.061352990771091,1.053244411514444,0.8040556483157905,0.4004593121069226,8.603276591557611,64.54,0,工业制造高排放型
广东,619.353860410031,4.893370154144197,0.4796782651066778,0.6154886449345032,0.4092632664852314,10.20135893181639,74.79,0,工业制造高排放型
江苏,821.345905674838,9.645870882851884,0.6684369440921045,0.7844688401594796,0.4548396915254126,14.4304873752202,74.42,0,工业制造高排放型
浙江,460.894579359081,7.007671877133662,0.5930543744985949,0.6335664039096597,0.4272666678676298,11.81623840656834,73.38,0,工业制造高排放型
湖北,372.810249713111,6.379367722674726,0.6937953726779262,0.6780628960473927,0.3952850009956285,9.194883641341548,64.67,0,工业制造高排放型
福建,299.219512343733,7.144687496268697,0.5633968663916389,0.697430536517288,0.4721944496223868,12.68144699140401,70.11,0,工业制造高排放型
辽宁,525.713479151335,12.52593469505206,1.814362950089336,0.7988334284599454,0.4057207740439205,6.903764593757446,73.0,0,工业制造高排放型
重庆,162.055223095746,5.043735546086087,0.5563363764487143,0.623314130172821,0.4014521610765903,9.065981948334889,70.96,0,工业制造高排放型
陕西,365.526129061286,9.239790926726137,1.115337244295667,0.8235911905195336,0.4861698914035158,8.284302325581395,64.02,0,工业制造高排放型
上海,178.588614209177,7.215701584209172,0.3999494190939358,0.5484473358972185,0.2566110075963881,18.04153535353536,89.33,3,经济发达效率型
北京,71.5544670473354,3.276303436233305,0.1719608733464919,0.02124105320950062,0.1587348507242093,19.05260989010989,87.57,3,经济发达效率型
内蒙古,878.769744615783,36.60015596067401,3.794571971603564,0.9352298634462393,0.4854265801905124,9.645397750937109,68.6,2,资源依赖高排放型
宁夏,247.423050285139,33.98668273147513,4.880524110090322,0.9399085097909095,0.4830953132397033,6.963736263736264,66.34,2,资源依赖高排放型
山西,629.336654408677,18.07919145098181,2.454262260491046,0.9116553927861305,0.5397580588551862,7.366446423441539,63.96,2,资源依赖高排放型
新疆,524.476393687672,20.27353667134411,2.956245560853331,0.8596557785482261,0.4098403160985948,6.857866254348666,57.89,2,资源依赖高排放型
河北,862.273721856768,11.62093964766534,2.035085158168835,0.8836501983752288,0.4024059248909616,5.710296495956873,61.65,2,资源依赖高排放型
