情景,年份,人口增长率,人均GDP增长率,煤炭占比年变化,第二产业占比年变化,城镇化率年变化,ΔlnP,ΔlnA,STIRPAT对数增长项,排放增长率
基准情景,2025,-0.001,0.045,-0.0040000000000000036,-0.0005000000000000004,0.0034999999999999476,-0.0010005003335836456,0.04401688541677426,0.010418243961077297,0.010472702822287072
基准情景,2026,-0.00105,0.04405,-0.0042999999999999705,-0.0005749999999999922,0.0033999999999999586,-0.0010505516361790162,0.0431073810339337,0.00900985360169649,0.00905056450723607
基准情景,2027,-0.0011,0.0431,-0.0046000000000000485,-0.0006499999999999839,0.0032999999999999696,-0.0011006054440330039,0.04219704869978828,0.007601088866681795,0.007630050476079564
基准情景,2028,-0.00115,0.04215,-0.0049000000000000155,-0.0007249999999999757,0.0031999999999999806,-0.001150661757395972,0.04128588690554257,0.006191949076582269,0.006211158821386009
基准情景,2029,-0.0012000000000000001,0.0412,-0.005199999999999982,-0.0008000000000000229,0.0030999999999999917,-0.001200720576518988,0.040373894138273164,0.004782433550087024,0.004793887637609018
基准情景,2030,-0.00125,0.04025,-0.005499999999999949,-0.0008750000000000147,0.0030000000000000027,-0.0012507819016524915,0.03946106888091351,0.0033725416040206583,0.003378235021085585
基准情景,2031,-0.0013,0.0393,-0.005800000000000027,-0.0009500000000000064,0.0029000000000000137,-0.0013008457330479584,0.03854740961223883,0.001962272553334586,0.001964199070032313
基准情景,2032,-0.00135,0.038349999999999995,-0.006099999999999994,-0.0010249999999999981,0.0028000000000000247,-0.0013509120709562367,0.03763291480685086,0.00055162571110261,0.0005517778845447463
基准情景,2033,-0.0014,0.037399999999999996,-0.006399999999999961,-0.0010999999999999899,0.0027000000000000357,-0.0014009809156281003,0.03671758293516286,-0.0008593996114881078,-0.0008590304334067378
基准情景,2034,-0.0014500000000000001,0.036449999999999996,-0.006700000000000039,-0.0011749999999999816,0.0026000000000000467,-0.001451052267314806,0.03580141246338332,-0.0022708041051437778,-0.0022682277799807027
基准情景,2035,-0.0015,0.0355,-0.007000000000000006,-0.0012499999999999734,0.0024999999999999467,-0.0015011261262670914,0.03488440185350188,-0.0036825884624688368,-0.003675816049464098
基准情景,2036,-0.0015500000000000002,0.03455,-0.007299999999999973,-0.0013250000000000206,0.0023999999999999577,-0.0015512024927364,0.03396654956327296,-0.0050947533779756695,-0.005081797134278365
基准情景,2037,-0.0015999999999999999,0.0336,-0.007600000000000051,-0.0014000000000000123,0.0022999999999999687,-0.001601281366973768,0.03304785404620042,-0.006507299548090254,-0.006486172924980327
基准情景,2038,-0.00165,0.03265,-0.007900000000000018,-0.001475000000000004,0.0021999999999999797,-0.0016513627492306024,0.03212831375152193,-0.007920227671158598,-0.007888945310264628
基准情景,2039,-0.0017000000000000001,0.0317,-0.008199999999999985,-0.0015499999999999958,0.0020999999999999908,-0.0017014466397576814,0.03120792712419322,-0.009333538447455025,-0.0092901161769674
