情景,年份,预测CO2_Mt
基准情景,2024,11901.436668
基准情景,2025,11931.309113367286
基准情景,2026,11961.256538169166
基准情景,2027,11991.279130603007
基准情景,2028,12021.377079338552
基准情景,2029,12051.550573519102
基准情景,2030,12081.799802762702
基准情景,2031,11938.714249333252
基准情景,2032,11797.32326756816
基准情景,2033,11657.606788543228
基准情景,2034,11519.544981011853
基准情景,2035,11383.118248590197
基准情景,2036,11248.307226975689
基准情景,2037,11115.092781198473
基准情景,2038,10983.456002905408
基准情景,2039,10853.378207676225
基准情景,2040,10724.840932371482
基准情景,2041,10597.825932511918
基准情景,2042,10472.315179688841
基准情景,2043,10348.2908590052
基准情景,2044,10225.73536654694
基准情景,2045,10104.63130688433
低碳情景,2024,11901.436668
低碳情景,2025,11703.591555895615
低碳情景,2026,11509.035348271884
低碳情景,2027,11317.713371588641
低碳情景,2028,11129.571861178576
低碳情景,2029,10944.557946138459
低碳情景,2030,10762.619634471539
低碳情景,2031,10452.736051941492
低碳情景,2032,10151.774817128176
低碳情景,2033,9859.479032624737
低碳情景,2034,9575.599197763357
低碳情景,2035,9299.892995644057
低碳情景,2036,9032.125086295491
低碳情景,2037,8772.066905791171
低碳情景,2038,8519.496471149652
低碳情景,2039,8274.198190852156
低碳情景,2040,8035.962680815868
低碳情景,2041,7804.5865856658465
低碳情景,2042,7579.872405152969
低碳情景,2043,7361.628325569757
低碳情景,2044,7149.668056020174
低碳情景,2045,6943.810669403635
强化低碳情景,2024,11901.436668
强化低碳情景,2025,11441.986492665746
强化低碳情景,2026,11000.273206541033
强化低碳情景,2027,10575.612084152412
强化低碳情景,2028,10167.344833577914
强化低碳情景,2029,9774.838575990425
强化低碳情景,2030,9397.484864595384
强化低碳情景,2031,8950.797404529338
强化低碳情景,2032,8525.342187968356
强化低碳情景,2033,8120.109989884739
强化低碳情景,2034,7734.13955640166
强化低碳情景,2035,7366.515324596723
强化低碳情景,2036,7016.365250689325
强化低碳情景,2037,6682.858741460056
强化低碳情景,2038,6365.2046839952345
强化低碳情景,2039,6062.649569082925
强化低碳情景,2040,5774.475703808946
强化低碳情景,2041,5499.999509112932
强化低碳情景,2042,5238.569898266101
强化低碳情景,2043,4989.56673242427
强化低碳情景,2044,4752.399349592565
强化低碳情景,2045,4526.505163512336
