情景,扰动变量,扰动比例,达峰年份,达峰年份变化,峰值_Mt,峰值变化_Mt,2045年_Mt,2045变化_Mt,2045较峰值下降比例
基准情景,人口增长率,-0.2,2032.0,0.0,12450.521831037806,15.098375979445336,11059.013755996117,44.89200873843765,0.11176303241947738
基准情景,人口增长率,-0.1,2032.0,0.0,12442.970801209054,7.547346150693556,11036.546681109125,22.42493385144553,0.11302960864966993
基准情景,人口增长率,0.1,2032.0,0.0,12427.879791223866,-7.5436638344945095,10991.738881930247,-22.382865327432228,0.11555799809938394
基准情景,人口增长率,0.2,2032.0,0.0,12420.33980834408,-15.083646714279894,10969.398012728916,-44.72373452876309,0.11681981475582581
基准情景,人均GDP增长率,-0.2,2029.0,-3.0,12133.659145959538,-301.7643090988222,10320.990344651489,-693.13140260619,0.14939176875688498
基准情景,人均GDP增长率,-0.1,2031.0,-1.0,12270.845155440427,-164.57829961793323,10662.535238599194,-351.5865086584854,0.13106757492805376
基准情景,人均GDP增长率,0.1,2033.0,1.0,12625.131849326306,189.70839426794555,11376.008499308964,361.88675205128493,0.09893943009268424
基准情景,人均GDP增长率,0.2,2034.0,2.0,12839.299826486604,403.87637142824315,11748.459853871016,734.338106613337,0.08496101713936599
基准情景,煤炭占比下降速度,-0.2,2035.0,3.0,12780.865643768386,345.4421887100252,11968.844362717842,954.7226154601631,0.06353413795930674
基准情景,煤炭占比下降速度,-0.1,2033.0,1.0,12590.246998506278,154.82354344791747,11481.5638736608,467.4421264031207,0.08805888597555023
基准情景,煤炭占比下降速度,0.1,2031.0,-1.0,12308.611669189107,-126.81178586925307,10565.710315970697,-448.4114312869824,0.14160015768319656
基准情景,煤炭占比下降速度,0.2,2030.0,-2.0,12205.887754072224,-229.53570098613636,10135.554794353397,-878.5669529042825,0.1696175650171866
基准情景,第二产业占比下降速度,-0.2,2032.0,0.0,12443.13345375875,7.709998700389406,11043.538029406955,29.416282149275503,0.11247933887014716
基准情景,第二产业占比下降速度,-0.1,2032.0,0.0,12439.277857066014,3.8544020076533343,11028.820080877113,14.69833361943347,0.11338743232491622
基准情景,第二产业占比下降速度,0.1,2032.0,0.0,12431.570247365602,-3.8532076927585877,10999.44300240745,-14.678744850229123,0.11520083275575244
基准情景,第二产业占比下降速度,0.2,2032.0,0.0,12427.718233617674,-7.705221440686728,10984.78382022007,-29.337927037609916,0.11610614163220934
基准情景,城镇化率年变化,-0.2,2032.0,0.0,12385.205225818458,-50.21822923990294,10921.660758806742,-92.4609884509373,0.11816876994179959
基准情景,城镇化率年变化,-0.1,2032.0,0.0,12410.288939458836,-25.134515599524093,10967.79382007814,-46.327927179539984,0.11623380619239632
基准情景,城镇化率年变化,0.1,2032.0,0.0,12460.60887550608,25.18542044771857,11060.645363458363,46.523616200684046,0.11235113195789614
基准情景,城镇化率年变化,0.2,2032.0,0.0,12485.845303899392,50.42184884103153,11107.365495270009,93.24374801232989,0.11040340281958139
低碳情景,人口增长率,-0.2,2026.0,0.0,11961.697120178458,3.1644968949385657,8938.803760952445,36.28541074292298,0.2527144207761811
低碳情景,人口增长率,-0.1,2026.0,0.0,11960.114848283723,1.5822250002038345,8920.644024656922,18.125674447399433,0.25413391611895475
低碳情景,人口增长率,0.1,2026.0,0.0,11956.95044518125,-1.5821781022696086,8884.426679000493,-18.0916712090293,0.2569655013849296
低碳情景,人口增长率,0.2,2026.0,0.0,11955.368313980322,-3.1643093031980243,8866.36895251186,-36.1493976976617,0.2583775991122129
低碳情景,人均GDP增长率,-0.2,2024.0,-2.0,11901.436668,-57.09595528351929,8372.005683676438,-530.5126665330845,0.29655503640273306
低碳情景,人均GDP增长率,-0.1,2025.0,-1.0,11917.935257588562,-40.59736569495726,8633.630830243908,-268.88751996561405,0.2755766293707145
低碳情景,人均GDP增长率,0.1,2027.0,1.0,12021.77990113208,63.24727784856077,9178.844811533789,276.32646132426635,0.23648204450412325
低碳情景,人均GDP增长率,0.2,2028.0,2.0,12106.35000626373,147.81738298021082,9462.790474477646,560.2721242681237,0.21836139963063417
低碳情景,煤炭占比下降速度,-0.2,2029.0,3.0,12122.491485003025,163.95886171950588,10025.075656814031,1122.557306604509,0.17301854414859752
低碳情景,煤炭占比下降速度,-0.1,2028.0,2.0,12023.650504392866,65.11788110934685,9447.13819085049,544.6198406409676,0.21428702644018482
低碳情景,煤炭占比下降速度,0.1,2025.0,-1.0,11919.883584453471,-38.649038830048084,8389.295400862804,-513.2229493467185,0.2961931766007718
低碳情景,煤炭占比下降速度,0.2,2024.0,-2.0,11901.436668,-57.09595528351929,7905.6593375380635,-996.8590126714589,0.33573907435944994
低碳情景,第二产业占比下降速度,-0.2,2026.0,0.0,11961.084577135598,2.551953852078441,8940.591471134892,38.07312092536995,0.25252669074630385
低碳情景,第二产业占比下降速度,-0.1,2026.0,0.0,11959.808532143374,1.2759088598540984,8921.534600813095,19.01625060357219,0.2540403488203482
低碳情景,第二产业占比下降速度,0.1,2026.0,0.0,11957.256850541513,-1.2757727420066658,8883.54263274328,-18.975717466242713,0.25705847555319783
低碳情景,第二产业占比下降速度,0.2,2026.0,0.0,11955.981213902838,-2.5514093806814344,8864.607362017963,-37.91098819155923,0.2585629566137253
