情景,扰动系数,系数说明,扰动比例,达峰年份,达峰年份变化,峰值_Mt,峰值变化_Mt,2045年_Mt,2045变化_Mt,2045较峰值下降比例
基准情景,lnP,人口规模系数,-0.1,2032.0,0.0,12442.966769820106,7.543314761745933,11036.53090264878,22.409155391100285,0.11303058934325683
低碳情景,lnP,人口规模系数,-0.1,2026.0,0.0,11960.114117762152,1.5814944786325213,8920.631271208578,18.11292099905586,0.25413493689325173
强化低碳情景,lnP,人口规模系数,-0.1,2024.0,0.0,11901.436668,0.0,7130.872144047531,16.891781379335043,0.4008393824234119
基准情景,lnP,人口规模系数,0.1,2032.0,0.0,12427.884713289426,-7.538741768934415,10991.758092599524,-22.3636546581547,0.11555680261132595
低碳情景,lnP,人口规模系数,0.1,2026.0,0.0,11956.951337927037,-1.5812853564821125,8884.442206642152,-18.07614356737031,0.2569642582335342
强化低碳情景,lnP,人口规模系数,0.1,2024.0,0.0,11901.436668,0.0,7097.128594946714,-16.851767721482247,0.40367463248961155
基准情景,lnA,人均GDP系数,-0.1,2031.0,-1.0,12267.906322754243,-167.5171323041177,10656.93595988346,-357.1857873742192,0.13131583503232258
低碳情景,lnA,人均GDP系数,-0.1,2025.0,-1.0,11917.512057520797,-41.02056576272298,8629.57120567694,-272.94714453258166,0.27589154816662687
强化低碳情景,lnA,人均GDP系数,-0.1,2024.0,0.0,11901.436668,0.0,6908.510066994379,-205.47029567381742,0.41952301560620475
基准情景,lnA,人均GDP系数,0.1,2033.0,1.0,12629.660230212101,194.23677515374038,11383.27923899255,369.15749173487166,0.0986868188455311
低碳情景,lnA,人均GDP系数,0.1,2027.0,1.0,12023.270996006326,64.73837272280616,9184.098617052934,281.58026684341166,0.2361397642868115
强化低碳情景,lnA,人均GDP系数,0.1,2024.0,0.0,11901.436668,0.0,7325.5616782283405,211.5813155601445,0.3844808923005949
基准情景,煤炭相关排放占比,煤炭占比系数,-0.1,2033.0,1.0,12590.246998506289,154.8235434479284,11481.563873660813,467.44212640313344,0.08805888597555
低碳情景,煤炭相关排放占比,煤炭占比系数,-0.1,2028.0,2.0,12023.650504392868,65.11788110934867,9447.138190850488,544.6198406409658,0.21428702644018516
强化低碳情景,煤炭相关排放占比,煤炭占比系数,-0.1,2024.0,0.0,11901.436668,0.0,7684.865481577652,570.8851189094557,0.3542909401652037
基准情景,煤炭相关排放占比,煤炭占比系数,0.1,2031.0,-1.0,12308.611669189107,-126.81178586925307,10565.710315970697,-448.4114312869824,0.14160015768319656
低碳情景,煤炭相关排放占比,煤炭占比系数,0.1,2025.0,-1.0,11919.883584453473,-38.649038830046266,8389.295400862808,-513.2229493467148,0.2961931766007716
强化低碳情景,煤炭相关排放占比,煤炭占比系数,0.1,2024.0,0.0,11901.436668,0.0,6585.50455069762,-528.4758119705757,0.44666305972921716
基准情景,第二产业占比,第二产业占比系数,-0.1,2032.0,0.0,12439.277857066014,3.8544020076533343,11028.820080877113,14.69833361943347,0.11338743232491622
低碳情景,第二产业占比,第二产业占比系数,-0.1,2026.0,0.0,11959.808532143374,1.2759088598540984,8921.534600813091,19.01625060356855,0.25404034882034854
强化低碳情景,第二产业占比,第二产业占比系数,-0.1,2024.0,0.0,11901.436668,0.0,7140.594377995692,26.614015327496418,0.4000224865965155
基准情景,第二产业占比,第二产业占比系数,0.1,2032.0,0.0,12431.570247365604,-3.8532076927567687,10999.44300240745,-14.678744850229123,0.11520083275575255
低碳情景,第二产业占比,第二产业占比系数,0.1,2026.0,0.0,11957.256850541513,-1.2757727420066658,8883.542632743276,-18.97571746624635,0.25705847555319816
强化低碳情景,第二产业占比,第二产业占比系数,0.1,2024.0,0.0,11901.436668,0.0,7087.465541577811,-26.51482109038534,0.404486555758916
基准情景,城镇化率,城镇化率系数,-0.1,2032.0,0.0,12410.288939458836,-25.134515599524093,10967.79382007814,-46.327927179539984,0.11623380619239632
低碳情景,城镇化率,城镇化率系数,-0.1,2026.0,0.0,11952.869243118002,-5.663380165517083,8872.54889800271,-29.969452206813003,0.2577055167644222
强化低碳情景,城镇化率,城镇化率系数,-0.1,2024.0,0.0,11901.436668,0.0,7096.011407622017,-17.968955046178962,0.40376850244463136
基准情景,城镇化率,城镇化率系数,0.1,2032.0,0.0,12460.608875506077,25.18542044771675,11060.645363458363,46.523616200684046,0.11235113195789603
低碳情景,城镇化率,城镇化率系数,0.1,2027.0,1.0,11964.921976747746,6.389353464226588,8932.589032409654,30.07068220013207,0.25343524598246714
强化低碳情景,城镇化率,城镇化率系数,0.1,2024.0,0.0,11901.436668,0.0,7131.994819803774,18.014457135577686,0.40074505131133187
