省份,实际lnCO2,拟合lnCO2,残差,实际CO2_Mt,拟合CO2_Mt,绝对误差_Mt,误差方向
北京,4.27045893658103,3.854446375085952,0.41601256149507826,71.5544670473354,47.20247723874294,24.351989808592457,模型低估
天津,5.0283344316499,5.132775860693526,-0.10444142904362597,152.678504319368,169.4869377948103,16.808433475442314,模型高估
河北,6.759572763014933,6.454649305081393,0.3049234579335405,862.273721856768,635.6507676656,226.622954191168,模型低估
山西,6.444666335155844,6.2488390137449485,0.19582732141089565,629.336654408677,517.4117678758122,111.92488653286478,模型低估
内蒙古,6.778522911852005,6.20702319960137,0.5714997122506356,878.769744615783,496.22189696726343,382.54784764851956,模型低估
辽宁,6.264756347883482,6.025711208750953,0.23904513913252945,525.713479151335,413.93593221706976,111.77754693426527,模型低估
吉林,5.230250434625389,5.628210157379699,-0.3979597227543099,186.839588764021,278.1638023842032,91.32421362018223,模型高估
黑龙江,5.610545928323945,5.602708425634312,0.007837502689633347,273.293395891859,271.1598300021339,2.133565889725105,模型低估
上海,5.185084916181694,5.46507815224807,-0.2799932360663764,178.588614209177,236.29432131968082,57.70570711050382,模型高估
江苏,6.710944343102121,6.809514305926951,-0.09856996282482999,821.345905674838,906.4304521191386,85.0845464443006,模型高估
浙江,6.133169338665939,6.103989137926215,0.029180200739724604,460.894579359081,447.63991046143946,13.254668897641523,模型低估
安徽,6.089219958914145,6.114096600830559,-0.024876641916413256,441.077218568729,452.187357110923,11.110138542194022,模型高估
福建,5.701177459026496,6.021944796276598,-0.32076733725010165,299.219512343733,412.379811094963,113.16029875122996,模型高估
江西,5.410060308382073,6.0896773573662255,-0.6796170489841522,223.645074946473,441.2790127524058,217.6339378059328,模型高估
山东,6.8253572127846445,6.639160742870644,0.18619646991400085,920.905304452066,764.4531509654447,156.45215348662134,模型低估
河南,6.270942730959717,6.288295401007138,-0.017352670047420915,528.975824777069,538.2350717155257,9.259246938456727,模型高估
湖北,5.921069576299128,5.954512631204389,-0.033443054905260894,372.810249713111,385.4889895837266,12.67873987061563,模型高估
湖南,5.727036778843325,5.745134213590028,-0.018097434746702667,307.058038080964,312.6655889852886,5.607550904324569,模型高估
广东,6.428676773983175,6.410953700377442,0.01772307360573233,619.353860410031,608.4737060356023,10.880154374428685,模型低估
广西,5.6315970277613605,5.719437662375697,-0.08784063461433611,279.107504323731,304.73351164692605,25.62600732319504,模型高估
海南,3.79979304999507,3.8847656705701037,-0.08497262057503363,44.6919345401215,48.65553969866249,3.963605158540986,模型高估
重庆,5.087937160451943,5.46129794707206,-0.3733607866201165,162.055223095746,235.40276649493723,73.34754339919124,模型高估
四川,5.7296570752992935,5.501488881862588,0.22816819343670502,307.863676214341,245.05652099151123,62.80715522282978,模型低估
贵州,5.52889930870998,5.426960715649634,0.10193859306034625,251.866531099655,227.45688766185137,24.409643437803624,模型低估
云南,5.393840006642094,5.537828162906873,-0.14398815626477912,220.046746229424,254.1254805402482,34.07873431082419,模型高估
陕西,5.90133776517442,6.108432632007718,-0.20709486683329814,365.526129061286,449.633421551489,84.10729249020301,模型高估
甘肃,5.276793345697765,5.332137247738857,-0.055343902041092186,195.741193567455,206.87965507243086,11.13846150497585,模型高估
青海,4.0133773275332105,4.109155539050468,-0.09577821151725718,55.3334344741701,60.895272171504566,5.561837697334468,模型高估
宁夏,5.511099625728019,5.284863489144956,0.22623613658306319,247.423050285139,197.32724429861324,50.09580598652576,模型低估
新疆,6.262400419554995,5.763491064801498,0.49890935475349707,524.476393687672,318.4581485977966,206.01824508987545,模型低估
