Area,CO2 (Mt),Sector,Date
China,0.15699,Domestic Aviation,2019/1/1
China,2.633219,Ground Transport,2019/1/1
China,14.064195,Industry,2019/1/1
China,0.090529,International Aviation,2019/1/1
China,13.074471,Power,2019/1/1
China,3.519444,Residential,2019/1/1
China,33.448319,Total,2019/1/1
China,0.159149,Domestic Aviation,2019/1/2
China,2.652194,Ground Transport,2019/1/2
China,13.832309,Industry,2019/1/2
China,0.089232,International Aviation,2019/1/2
China,12.858903,Power,2019/1/2
China,3.381881,Residential,2019/1/2
China,32.884435,Total,2019/1/2
China,0.155674,Domestic Aviation,2019/1/3
China,2.641571,Ground Transport,2019/1/3
China,13.390106,Industry,2019/1/3
China,0.09282,International Aviation,2019/1/3
China,12.447819,Power,2019/1/3
China,3.123811,Residential,2019/1/3
China,31.758982,Total,2019/1/3
China,0.156753,Domestic Aviation,2019/1/4
China,2.687828,Ground Transport,2019/1/4
China,13.867361,Industry,2019/1/4
China,0.091405,International Aviation,2019/1/4
China,12.891489,Power,2019/1/4
China,3.089152,Residential,2019/1/4
China,32.692583,Total,2019/1/4
China,0.152596,Domestic Aviation,2019/1/5
China,2.625865,Ground Transport,2019/1/5
China,13.843094,Industry,2019/1/5
China,0.101436,International Aviation,2019/1/5
China,12.868929,Power,2019/1/5
China,3.157575,Residential,2019/1/5
China,32.64806,Total,2019/1/5
China,0.156295,Domestic Aviation,2019/1/6
China,2.56183,Ground Transport,2019/1/6
China,13.937466,Industry,2019/1/6
China,0.098003,International Aviation,2019/1/6
China,12.956661,Power,2019/1/6
China,3.146891,Residential,2019/1/6
China,32.759142,Total,2019/1/6
China,0.156247,Domestic Aviation,2019/1/7
China,2.645861,Ground Transport,2019/1/7
China,13.79456,Industry,2019/1/7
China,0.091667,International Aviation,2019/1/7
China,12.82381,Power,2019/1/7
China,3.089391,Residential,2019/1/7
China,32.509869,Total,2019/1/7
China,0.154574,Domestic Aviation,2019/1/8
China,2.645556,Ground Transport,2019/1/8
China,13.972519,Industry,2019/1/8
China,0.093984,International Aviation,2019/1/8
China,12.989247,Power,2019/1/8
China,3.190048,Residential,2019/1/8
China,32.951943,Total,2019/1/8
China,0.1562,Domestic Aviation,2019/1/9
China,2.645309,Ground Transport,2019/1/9
China,14.042624,Industry,2019/1/9
China,0.093579,International Aviation,2019/1/9
China,13.054418,Power,2019/1/9
China,3.177603,Residential,2019/1/9
China,33.076155,Total,2019/1/9
China,0.163105,Domestic Aviation,2019/1/10
China,2.64639,Ground Transport,2019/1/10
China,14.317653,Industry,2019/1/10
China,0.103764,International Aviation,2019/1/10
China,13.310092,Power,2019/1/10
China,3.061917,Residential,2019/1/10
China,33.499157,Total,2019/1/10
China,0.128542,Domestic Aviation,2019/1/11
China,2.679214,Ground Transport,2019/1/11
China,14.608859,Industry,2019/1/11
China,0.093055,International Aviation,2019/1/11
China,13.580806,Power,2019/1/11
China,2.991341,Residential,2019/1/11
China,33.988762,Total,2019/1/11
China,0.154415,Domestic Aviation,2019/1/12
China,2.601742,Ground Transport,2019/1/12
China,14.139693,Industry,2019/1/12
China,0.100196,International Aviation,2019/1/12
China,13.144656,Power,2019/1/12
China,2.97679,Residential,2019/1/12
China,33.017297,Total,2019/1/12
China,0.154417,Domestic Aviation,2019/1/13
China,2.540651,Ground Transport,2019/1/13
China,13.694794,Industry,2019/1/13
China,0.100269,International Aviation,2019/1/13
China,12.731066,Power,2019/1/13
China,2.971816,Residential,2019/1/13
China,32.092745,Total,2019/1/13
China,0.160367,Domestic Aviation,2019/1/14
China,2.636245,Ground Transport,2019/1/14
China,13.624689,Industry,2019/1/14
China,0.094947,International Aviation,2019/1/14
China,12.665894,Power,2019/1/14
China,2.91489,Residential,2019/1/14
China,32.002084,Total,2019/1/14
China,0.159847,Domestic Aviation,2019/1/15
China,2.632717,Ground Transport,2019/1/15
China,13.870058,Industry,2019/1/15
China,0.092304,International Aviation,2019/1/15
China,12.893995,Power,2019/1/15
China,3.30044,Residential,2019/1/15
China,32.857057,Total,2019/1/15
China,0.12863,Domestic Aviation,2019/1/16
China,2.623415,Ground Transport,2019/1/16
China,13.872754,Industry,2019/1/16
China,0.083836,International Aviation,2019/1/16
China,12.896502,Power,2019/1/16
China,3.337661,Residential,2019/1/16
China,32.858962,Total,2019/1/16
China,0.160718,Domestic Aviation,2019/1/17
China,2.631336,Ground Transport,2019/1/17
China,13.915896,Industry,2019/1/17
China,0.097113,International Aviation,2019/1/17
China,12.936608,Power,2019/1/17
China,3.155119,Residential,2019/1/17
China,32.799677,Total,2019/1/17
China,0.162296,Domestic Aviation,2019/1/18
China,2.692879,Ground Transport,2019/1/18
China,13.84579,Industry,2019/1/18
China,0.098073,International Aviation,2019/1/18
China,12.871436,Power,2019/1/18
China,2.900275,Residential,2019/1/18
China,32.472676,Total,2019/1/18
China,0.162232,Domestic Aviation,2019/1/19
China,2.633052,Ground Transport,2019/1/19
China,13.662438,Industry,2019/1/19
China,0.10408,International Aviation,2019/1/19
China,12.700987,Power,2019/1/19
China,2.86126,Residential,2019/1/19
China,32.019969,Total,2019/1/19
China,0.16361,Domestic Aviation,2019/1/20
China,2.360515,Ground Transport,2019/1/20
China,13.266074,Industry,2019/1/20
China,0.100624,International Aviation,2019/1/20
China,12.332515,Power,2019/1/20
China,3.025023,Residential,2019/1/20
China,31.147737,Total,2019/1/20
China,0.170123,Domestic Aviation,2019/1/21
China,2.633073,Ground Transport,2019/1/21
China,13.074632,Industry,2019/1/21
China,0.098776,International Aviation,2019/1/21
China,12.154546,Power,2019/1/21
China,3.060206,Residential,2019/1/21
China,31.092581,Total,2019/1/21
China,0.174583,Domestic Aviation,2019/1/22
China,2.652837,Ground Transport,2019/1/22
China,12.664786,Industry,2019/1/22
China,0.10721,International Aviation,2019/1/22
China,11.773541,Power,2019/1/22
China,2.905474,Residential,2019/1/22
China,30.171222,Total,2019/1/22
